country,region_group,income_group,gdp_per_capita_usd,internet_use_pct,infant_mortality_per_1k,unemployment_pct,population_growth_pct,population_growth
Argentina,LatinAmerica,upper_middle,"14,187.48",89.23,8.4,6.14,0.29,low growth
Australia,Asia-Pacific,high,"64,820.91",94.88,3.2,3.67,2.45,high growth
Austria,Europe_CentralAsia,high,"56,033.57",95.33,2.6,5.26,0.99,low growth
Belgium,Europe_CentralAsia,high,"54,700.91",94.63,3.1,5.53,0.91,low growth
Bolivia,LatinAmerica,lower_middle,"3,686.28",73.28,19.6,3.02,1.37,low growth
Brazil,LatinAmerica,upper_middle,"10,294.87",84.15,12.5,7.95,0.4,low growth
Bulgaria,Europe_CentralAsia,high,"15,885.54",80.39,5,4.32,-3.01,declining
Cambodia,Asia-Pacific,lower_middle,"2,429.75",56.73,20.3,0.4,1.28,low growth
Canada,North_America,high,"53,431.19",94,4.3,5.42,2.93,high growth
Chile,LatinAmerica,high,"17,067.81",94.12,5.4,9.01,0.54,low growth
China,Asia-Pacific,upper_middle,"12,614.06",77.48,4.8,5.11,-0.1,declining
Costa Rica,LatinAmerica,upper_middle,"16,942.03",85.13,6.9,8.33,0.47,low growth
Croatia,Europe_CentralAsia,high,"21,865.46",83.24,3.9,6.09,0.1,low growth
Dominican Republic,LatinAmerica,upper_middle,"10,717.63",84.38,26.8,5.56,0.89,low growth
Ecuador,LatinAmerica,upper_middle,"6,609.80",72.69,10.5,3.51,0.87,low growth
Estonia,Europe_CentralAsia,high,"30,133.30",93.18,1.5,6.38,1.58,high growth
Finland,Europe_CentralAsia,high,"52,925.69",93.51,1.9,7.15,0.5,low growth
France,Europe_CentralAsia,high,"44,690.93",86.84,3.3,7.34,0.33,low growth
Germany,Europe_CentralAsia,high,"54,343.23",92.48,3,3.07,-0.62,declining
Guatemala,LatinAmerica,upper_middle,"5,762.82",54.4,18.8,2.34,1.54,high growth
"Hong Kong SAR, China",Asia-Pacific,high,"50,531.74",95.61,4.4,2.95,2.55,high growth
Hungary,Europe_CentralAsia,high,"22,141.87",91.45,3.3,4.11,-0.54,declining
Iceland,Europe_CentralAsia,high,"79,636.95",99.86,2,3.52,2.93,high growth
India,Asia-Pacific,lower_middle,"2,480.79",43.41,25.5,4.17,0.88,low growth
Ireland,Europe_CentralAsia,high,"103,887.80",95.59,2.7,4.29,2.71,high growth
Israel,MENA,high,"52,642.43",91.85,2.7,3.37,2.06,high growth
Italy,Europe_CentralAsia,high,"39,003.32",87.03,2.2,7.63,-0.03,declining
Jamaica,LatinAmerica,upper_middle,"6,839.73",85.12,16.1,3.02,0.02,low growth
Japan,Asia-Pacific,high,"33,766.53",84.92,1.7,2.6,-0.49,declining
Kazakhstan,Europe_CentralAsia,upper_middle,"12,918.87",92.88,8.7,4.86,1.46,low growth
Latvia,Europe_CentralAsia,high,"22,502.84",92.19,2.8,6.47,-0.1,declining
Lebanon,MENA,lower_middle,"3,654.36",90.05,14.9,11.3,0.5,low growth
Luxembourg,Europe_CentralAsia,high,"128,678.19",99.35,2.2,5.18,2.02,high growth
Malaysia,Asia-Pacific,upper_middle,"11,379.09",97.69,6.7,3.93,1.23,low growth
Malta,MENA,high,"40,395.77",91.92,4.9,3.11,3.92,high growth
Mexico,LatinAmerica,upper_middle,"13,790.02",81.18,11,2.77,0.87,low growth
Mozambique,Sub-Saharan Africa,low,622.99,21.21,48.7,6.79,2.95,high growth
Netherlands,Europe_CentralAsia,high,"64,572.01",97.01,3.4,3.54,0.99,low growth
New Zealand,Asia-Pacific,high,"48,280.81",95.73,3.9,3.73,2.05,high growth
Norway,Europe_CentralAsia,high,"87,925.09",99,1.8,3.57,1.14,low growth
Pakistan,Asia-Pacific,lower_middle,"1,365.28",32.95,51,6.34,1.55,high growth
Peru,LatinAmerica,upper_middle,"7,906.59",74.68,11.7,4.9,1.1,low growth
Philippines,Asia-Pacific,lower_middle,"3,804.87",75.21,21.8,2.6,0.81,low growth
Poland,Europe_CentralAsia,high,"22,056.67",86.41,3.8,2.74,-0.37,declining
Portugal,Europe_CentralAsia,high,"27,331.21",85.79,2.6,6.51,1.37,low growth
Qatar,MENA,high,"80,195.87",100,4.5,0.13,-0.05,declining
Romania,Europe_CentralAsia,high,"18,404.27",89.2,5.5,5.59,0.06,low growth
Russian Federation,Europe_CentralAsia,high,"13,817.05",92.25,3.8,3.08,-0.29,declining
Saudi Arabia,MENA,high,"32,093.96",100,5.5,4.01,3.33,high growth
Singapore,Asia-Pacific,high,"84,734.26",94.29,1.8,3.44,4.86,high growth
South Africa,Sub-Saharan Africa,upper_middle,"6,022.54",74.7,27.7,32.1,1.33,low growth
Spain,Europe_CentralAsia,high,"33,509.01",95.45,2.5,12.18,1.23,low growth
Sweden,Europe_CentralAsia,high,"55,516.84",95.7,2,7.61,0.47,low growth
Ukraine,Europe_CentralAsia,upper_middle,"5,069.70",79.22,7,9.83,-8.42,declining
United Arab Emirates,MENA,high,"49,040.69",100,4.3,2.15,3.98,high growth
United Kingdom,Europe_CentralAsia,high,"49,463.86",95.34,3.6,4.03,0.82,low growth
United States,North_America,high,"82,769.41",97.13,5.4,3.64,0.49,low growth