country,region_group,income_group,health_expenditure_pct_gdp,renewable_energy_pct,control_of_corruption_pctile,population_growth_pct,unemployment_pct,unemployment_level
Argentina,LatinAmerica,upper_middle,9.71,9.2,41.98,0.29,6.14,Medium
Australia,Asia-Pacific,high,10.54,12.3,95.75,2.45,3.67,Low
Austria,Europe_CentralAsia,high,12.1,36,83.49,0.99,5.26,Medium
Belgium,Europe_CentralAsia,high,11.04,11.7,89.15,0.91,5.53,Medium
Bolivia,LatinAmerica,lower_middle,8.16,12.8,21.7,1.37,3.02,Low
Brazil,LatinAmerica,upper_middle,9.89,46.5,34.43,0.4,7.95,Medium
Bulgaria,Europe_CentralAsia,high,8.56,20.4,50,-3.01,4.32,Medium
Cambodia,Asia-Pacific,lower_middle,7.53,52.4,9.43,1.28,0.4,Low
Canada,North_America,high,11.15,23.8,94.81,2.93,5.42,Medium
Chile,LatinAmerica,high,9,24.2,80.66,0.54,9.01,High
China,Asia-Pacific,upper_middle,5.38,15.2,54.25,-0.1,5.11,Medium
Costa Rica,LatinAmerica,upper_middle,7.57,34.2,72.64,0.47,8.33,High
Croatia,Europe_CentralAsia,high,8.1,34.1,59.91,0.1,6.09,Medium
Dominican Republic,LatinAmerica,upper_middle,4.92,14.8,37.74,0.89,5.56,Medium
Ecuador,LatinAmerica,upper_middle,8.29,18.9,27.83,0.87,3.51,Low
Estonia,Europe_CentralAsia,high,6.94,38,91.51,1.58,6.38,Medium
Finland,Europe_CentralAsia,high,10.25,50.2,99.53,0.5,7.15,Medium
France,Europe_CentralAsia,high,12.31,16.2,83.96,0.33,7.34,Medium
Germany,Europe_CentralAsia,high,12.65,17.6,94.34,-0.62,3.07,Low
Guatemala,LatinAmerica,upper_middle,6.9,62.1,14.15,1.54,2.34,Low
"Hong Kong SAR, China",Asia-Pacific,high,8.21,0.4,93.4,2.55,2.95,Low
Hungary,Europe_CentralAsia,high,7.38,15.3,54.72,-0.54,4.11,Medium
Iceland,Europe_CentralAsia,high,8.57,82.4,91.98,2.93,3.52,Low
India,Asia-Pacific,lower_middle,3.28,34.9,41.51,0.88,4.17,Medium
Ireland,Europe_CentralAsia,high,6.07,12.7,92.92,2.71,4.29,Medium
Israel,MENA,high,7.9,6.2,78.77,2.06,3.37,Low
Italy,Europe_CentralAsia,high,9,17.5,67.92,-0.03,7.63,Medium
Jamaica,LatinAmerica,upper_middle,7.19,10.5,50.94,0.02,3.02,Low
Japan,Asia-Pacific,high,10.82,8.8,90.09,-0.49,2.6,Low
Kazakhstan,Europe_CentralAsia,upper_middle,3.92,2,47.17,1.46,4.86,Medium
Latvia,Europe_CentralAsia,high,9.04,44,74.53,-0.1,6.47,Medium
Lebanon,MENA,lower_middle,10.06,6.8,10.85,0.5,11.3,High
Luxembourg,Europe_CentralAsia,high,5.46,20.5,96.7,2.02,5.18,Medium
Malaysia,Asia-Pacific,upper_middle,4.38,7.5,61.79,1.23,3.93,Low
Malta,MENA,high,10.58,8.6,58.49,3.92,3.11,Low
Mexico,LatinAmerica,upper_middle,6.08,13,17.45,0.87,2.77,Low
Mozambique,Sub-Saharan Africa,low,9.05,76.9,22.17,2.95,6.79,Medium
Netherlands,Europe_CentralAsia,high,11.29,12.2,96.23,0.99,3.54,Low
New Zealand,Asia-Pacific,high,10.05,28.9,98.58,2.05,3.73,Low
Norway,Europe_CentralAsia,high,8.14,61.4,99.06,1.14,3.57,Low
Pakistan,Asia-Pacific,lower_middle,2.91,41.6,18.87,1.55,6.34,Medium
Peru,LatinAmerica,upper_middle,6.15,30.6,25.47,1.1,4.9,Medium
Philippines,Asia-Pacific,lower_middle,5.1,28,32.55,0.81,2.6,Low
Poland,Europe_CentralAsia,high,6.68,15.2,68.87,-0.37,2.74,Low
Portugal,Europe_CentralAsia,high,10.62,32.3,74.06,1.37,6.51,Medium
Qatar,MENA,high,2.89,0,75,-0.05,0.13,Low
Romania,Europe_CentralAsia,high,6.48,23.6,56.13,0.06,5.59,Medium
Russian Federation,Europe_CentralAsia,high,7.39,3.5,15.57,-0.29,3.08,Low
Saudi Arabia,MENA,high,5.97,0.1,66.51,3.33,4.01,Medium
Singapore,Asia-Pacific,high,5.57,1.1,98.11,4.86,3.44,Low
South Africa,Sub-Saharan Africa,upper_middle,8.27,9.7,45.75,1.33,32.1,High
Spain,Europe_CentralAsia,high,10.74,19,71.7,1.23,12.18,High
Sweden,Europe_CentralAsia,high,10.67,57.9,97.64,0.47,7.61,Medium
Ukraine,Europe_CentralAsia,upper_middle,8.01,8.9,25.94,-8.42,9.83,High
United Arab Emirates,MENA,high,5.31,1,82.55,3.98,2.15,Low
United Kingdom,Europe_CentralAsia,high,11.34,12.2,90.57,0.82,4.03,Medium
United States,North_America,high,16.57,10.9,83.02,0.49,3.64,Low